,pmd:TSO,pmd:cgmesProfile,pmd:content-reference,pmd:contentType,pmd:conversationId,pmd:creationDate,pmd:description,pmd:fileName,pmd:fullModel_ID,pmd:isFullModel,pmd:modelPartReference,pmd:modelProfile,pmd:modelid,pmd:modelingAuthoritySet,pmd:scenarioDate,pmd:timeHorizon,pmd:validFrom,pmd:version,pmd:versionNumber
0,ELERING,SV,CGMES/1D/ELERING/20181122/43000/SV/20181122T0430Z_1D_ELERING_SV_001.xml,CGMES,-1547138738,2018-11-21T18:17:11Z,ELERING AP--Base-Network,20181122T0430Z_1D_ELERING_SV_001.xml,38601c81-d018-4b36-ab0b-a5fe2e936602,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,38601c81-d018-4b36-ab0b-a5fe2e936602,http://www.elering.ee/OperationalPlanning,2018-11-22T04:30:00Z,1D,20181122T0430Z,001,001
1,AST,SV,CGMES/1D/AST/20181122/43000/SV/20181122T0430Z_1D_AST_SV_001.xml,CGMES,-1720366301,2018-11-21T14:31:56Z,Mustang case: buses - 272 branches - 356,20181122T0430Z_1D_AST_SV_001.xml,db8d3acd-3837-4048-ae1a-01c4725b18d4,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,db8d3acd-3837-4048-ae1a-01c4725b18d4,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T04:30:00Z,1D,20181122T0430Z,001,001
2,LITGRID,SV,CGMES/1D/LITGRID/20181122/43000/SV/20181122T0430Z_1D_LITGRID_SV_001.xml,CGMES,979159573,2018-11-21T14:32:49.6683501Z,,20181122T0430Z_1D_LITGRID_SV_001.xml,3bde2d4e-ed9a-11e8-811c-00505691de36,true,LITGRID,http://entsoe.eu/CIM/StateVariables/4/1,3bde2d4e-ed9a-11e8-811c-00505691de36,http://www.litgrid.eu/OperationalPlanning,2018-11-22T04:30:00.0000000Z,1D,20181122T0430Z,1,001
0,AST,SV,CGMES/1D/AST/20181122/53000/SV/20181122T0530Z_1D_AST_SV_001.xml,CGMES,-1899778959,2018-11-21T14:31:55Z,Mustang case: buses - 272 branches - 356,20181122T0530Z_1D_AST_SV_001.xml,ddd605fb-0f4e-42fe-ae8a-f7a05d8b8155,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,ddd605fb-0f4e-42fe-ae8a-f7a05d8b8155,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T05:30:00Z,1D,20181122T0530Z,001,001
1,LITGRID,SV,CGMES/1D/LITGRID/20181122/53000/SV/20181122T0530Z_1D_LITGRID_SV_001.xml,CGMES,-1600109413,2018-11-21T14:32:43.9027252Z,,20181122T0530Z_1D_LITGRID_SV_001.xml,3c472940-ed9a-11e8-811c-00505691de36,true,LITGRID,http://entsoe.eu/CIM/StateVariables/4/1,3c472940-ed9a-11e8-811c-00505691de36,http://www.litgrid.eu/OperationalPlanning,2018-11-22T05:30:00.0000000Z,1D,20181122T0530Z,1,001
2,ELERING,SV,CGMES/1D/ELERING/20181122/53000/SV/20181122T0530Z_1D_ELERING_SV_001.xml,CGMES,2066937915,2018-11-21T18:18:01Z,ELERING AP--Base-Network,20181122T0530Z_1D_ELERING_SV_001.xml,25ed9538-d2ce-4948-9bc0-2d7320176c79,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,25ed9538-d2ce-4948-9bc0-2d7320176c79,http://www.elering.ee/OperationalPlanning,2018-11-22T05:30:00Z,1D,20181122T0530Z,001,001
0,AST,SV,CGMES/1D/AST/20181122/63000/SV/20181122T0630Z_1D_AST_SV_001.xml,CGMES,1641269111,2018-11-21T14:31:55Z,Mustang case: buses - 272 branches - 356,20181122T0630Z_1D_AST_SV_001.xml,cf68b701-fa8d-4cfb-9088-45b6bcaa558e,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,cf68b701-fa8d-4cfb-9088-45b6bcaa558e,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T06:30:00Z,1D,20181122T0630Z,001,001
1,LITGRID,SV,CGMES/1D/LITGRID/20181122/63000/SV/20181122T0630Z_1D_LITGRID_SV_001.xml,CGMES,-942326694,2018-11-21T14:33:56.1992095Z,,20181122T0630Z_1D_LITGRID_SV_001.xml,6d380711-ed9a-11e8-811c-00505691de36,true,LITGRID,http://entsoe.eu/CIM/StateVariables/4/1,6d380711-ed9a-11e8-811c-00505691de36,http://www.litgrid.eu/OperationalPlanning,2018-11-22T06:30:00.0000000Z,1D,20181122T0630Z,1,001
2,ELERING,SV,CGMES/1D/ELERING/20181122/63000/SV/20181122T0630Z_1D_ELERING_SV_001.xml,CGMES,1893379930,2018-11-21T18:18:52Z,ELERING AP--Base-Network,20181122T0630Z_1D_ELERING_SV_001.xml,ffbcece9-3920-485f-8439-266510806055,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,ffbcece9-3920-485f-8439-266510806055,http://www.elering.ee/OperationalPlanning,2018-11-22T06:30:00Z,1D,20181122T0630Z,001,001
0,ELERING,SV,CGMES/1D/ELERING/20181122/73000/SV/20181122T0730Z_1D_ELERING_SV_001.xml,CGMES,-664997821,2018-11-21T18:19:44Z,ELERING AP--Base-Network,20181122T0730Z_1D_ELERING_SV_001.xml,5be975e1-5fbf-4fab-8541-9799a4365c6b,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,5be975e1-5fbf-4fab-8541-9799a4365c6b,http://www.elering.ee/OperationalPlanning,2018-11-22T07:30:00Z,1D,20181122T0730Z,001,001
