query_id;time_horizon;sceanrio_time;profile;query_duration;query_start;query_end;query_status
nan;2D;2018-11-19 01:30:00+01:00;SV;2,0;2018-12-07 15:39:30.440182;2018-12-07 15:39:32.518377;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 675bcdbf-d537-4c60-9cc3-bb7767ac47ee
nan;2D;2018-11-19 02:30:00+01:00;SV;2,0;2018-12-07 15:39:32.533970;2018-12-07 15:39:34.612146;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: c5a2298d-7f21-466d-ab42-eb77fe63515d
nan;2D;2018-11-19 03:30:00+01:00;SV;2,0;2018-12-07 15:39:34.627760;2018-12-07 15:39:36.690320;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: e86af14b-e639-4ab8-99c1-67be22c1d232
nan;2D;2018-11-19 04:30:00+01:00;SV;2,0;2018-12-07 15:39:36.705909;2018-12-07 15:39:38.784093;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 8df0ac60-50db-4c01-add0-d424029d55e1
nan;2D;2018-11-19 05:30:00+01:00;SV;2,0;2018-12-07 15:39:38.784093;2018-12-07 15:39:40.909139;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 2afc6828-d18e-4c36-84f3-3084495035fc
nan;2D;2018-11-19 06:30:00+01:00;SV;3,0;2018-12-07 15:39:40.909139;2018-12-07 15:39:43.002930;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: e866acea-d7a4-467b-8fa2-fe3b671e4744
nan;2D;2018-11-19 07:30:00+01:00;SV;2,0;2018-12-07 15:39:43.018544;2018-12-07 15:39:45.081106;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: e399f74b-ddd5-49a2-89f9-f0b84ff26b50
nan;2D;2018-11-19 08:30:00+01:00;SV;2,0;2018-12-07 15:39:45.081106;2018-12-07 15:39:47.143643;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 0dd46b3a-8370-4fc7-b021-58ee42e03f5a
nan;2D;2018-11-19 09:30:00+01:00;SV;2,0;2018-12-07 15:39:47.159257;2018-12-07 15:39:49.253058;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 464e6fa7-2e94-49fe-83d8-322106ba94c5
nan;2D;2018-11-19 10:30:00+01:00;SV;3,0;2018-12-07 15:39:49.268677;2018-12-07 15:39:52.346880;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: e544adb7-6c79-4024-8023-de8a70f652ea
nan;2D;2018-11-19 11:30:00+01:00;SV;3,0;2018-12-07 15:39:52.362508;2018-12-07 15:39:55.456309;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: ef6e0f4b-000a-4217-903b-a25d7904b529
nan;2D;2018-11-19 12:30:00+01:00;SV;2,0;2018-12-07 15:39:55.456309;2018-12-07 15:39:57.518870;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: bf01f514-06c2-4c96-80b7-263a33546586
nan;2D;2018-11-19 13:30:00+01:00;SV;3,0;2018-12-07 15:39:57.534491;2018-12-07 15:40:00.628346;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 9045fb46-7dd5-41b4-984c-3cbb3bd50c76
nan;2D;2018-11-19 14:30:00+01:00;SV;2,0;2018-12-07 15:40:00.643956;2018-12-07 15:40:02.878351;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: f62d9f30-cc5d-41bd-a400-d2dc4b09192d
nan;2D;2018-11-19 15:30:00+01:00;SV;2,0;2018-12-07 15:40:02.878351;2018-12-07 15:40:04.940895;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 9fa65e78-f429-4d23-ad68-14951ba87a40
nan;2D;2018-11-19 16:30:00+01:00;SV;4,0;2018-12-07 15:40:04.956511;2018-12-07 15:40:08.034721;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 73cbce8f-b0e4-43e9-a0ae-20a870c639c2
nan;2D;2018-11-19 17:30:00+01:00;SV;2,0;2018-12-07 15:40:08.034721;2018-12-07 15:40:10.112880;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: d296db3b-be58-4281-a6c0-cd03d1c7d1ec
nan;2D;2018-11-19 18:30:00+01:00;SV;2,0;2018-12-07 15:40:10.128497;2018-12-07 15:40:12.206674;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 23a889de-e1c3-4a1a-84f4-57608746eb13
nan;2D;2018-11-19 19:30:00+01:00;SV;4,0;2018-12-07 15:40:12.222291;2018-12-07 15:40:16.409909;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 24702563-e79c-4118-94cf-7875aba4f315
nan;2D;2018-11-19 20:30:00+01:00;SV;4,0;2018-12-07 15:40:16.425552;2018-12-07 15:40:20.488105;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 64b307ec-c4e9-4c70-a68c-98255ef0fe0b
nan;2D;2018-11-19 21:30:00+01:00;SV;3,0;2018-12-07 15:40:20.519348;2018-12-07 15:40:23.597553;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: d3ddafc6-c31b-42ef-9657-4eb39f3e97bb
nan;2D;2018-11-19 22:30:00+01:00;SV;2,0;2018-12-07 15:40:23.597553;2018-12-07 15:40:25.660097;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: c7b2d232-6dca-46a0-b9de-01f6e53259dd
nan;2D;2018-11-19 23:30:00+01:00;SV;2,0;2018-12-07 15:40:25.675732;2018-12-07 15:40:27.753887;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 3e5c89a7-b326-45eb-a10b-8566a6934040
nan;2D;2018-11-20 00:30:00+01:00;SV;2,0;2018-12-07 15:40:27.769498;2018-12-07 15:40:29.847667;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: c7f0c25c-0038-481d-add7-fe060565892c
nan;2D;2018-11-20 01:30:00+01:00;SV;3,0;2018-12-07 15:40:29.847667;2018-12-07 15:40:32.925941;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: f223db4c-16da-4358-b637-144e3568a7c0
nan;2D;2018-11-20 02:30:00+01:00;SV;5,0;2018-12-07 15:40:32.925941;2018-12-07 15:40:37.004082;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 04d5d168-bdc7-4e20-863c-e3b64d0a9b28
